problem	if xbegin is executed immediately after an execution of mov to ss or pop ss, a transactional abort occurs and the logical processor restarts execution from the fallback instruction address. if execution of the instruction at that address causes a debug exception, bits [3:0] of the dr6 register may contain an incorrect value.										
implication	when the instruction at the fallback instruction address causes a debug exception, dr6 may report a breakpoint that was not triggered by that instruction, or it may fail to report a breakpoint that was triggered by the instruction.										
workaround	avoid following a mov ss or pop ss instruction immediately with an xbegin instruction.										
											
title	opcode bytes f3 0f bc may execute as tzcnt even when tzcnt not enumerated by cpuid										
problem	if cpuid.(eax=07h, ecx=0):ebx.bmi1 (bit 3) is 1 then opcode bytes f3 0f bc should be interpreted as tzcnt otherwise they will be interpreted as rep bsf. due to this erratum, opcode bytes f3 0f bc may execute as tzcnt even if cpuid.(eax=07h, ecx=0):ebx.bmi1 (bit 3) is 0.										
implication	software that expects rep prefix before a bsf instruction to be ignored may not operate correctly since there are cases in which bsf and tzcnt differ with regard to the flags that are set and how the destination operand is established.										
workaround	software should use the opcode bytes f3 0f bc only if cpuid.(eax=07h, ecx=0):ebx.bmi1 (bit 3) is 1 and only if the functionality of tzcnt (and not bsf) is desired.										
											
title	#gp on segment selector descriptor that straddles canonical boundary may not provide correct exception error code										
problem	during a #gp (general protection exception), the processor pushes an error code on to the exception handler’s stack. if the segment selector descriptor straddles the canonical boundary, the error code pushed onto the stack may be incorrect.										
implication	an incorrect error code may be pushed onto the stack. intel has not observed this erratum with any commercially available software.										
workaround	none identified.										
											
title	the smsw instruction may execute within an enclave										
problem	the smsw instruction is illegal within an sgx (software guard extensions) enclave, and an attempt to execute it within an enclave should result in a #ud (invalid-opcode exception). due to this erratum, the instruction executes normally within an enclave and does not cause a #ud.										
implication	the smsw instruction provides access to cr0 bits 15:0 and will provide that information inside an enclave. these bits include ne, et, ts, em, mp and pe.										
workaround	none identified. if smsw execution inside an enclave is unacceptable, system software should not enable sgx.										
											
title	wrmsr to ia32_bios_updt_trig concurrent with an smx senter/sexit may result in a system hang										
problem	performing wrmsr to ia32_bios_updt_trig (msr 79h) on a logical processor while another logical processor is executing an smx (safer mode extensions) senter/sexit operation (getsec[senter] or getsec[sexit] instruction) may cause the processor to hang.										
implication	when this erratum occurs, the system will hang. intel has not observed this erratum with any commercially available system.										
workaround	none identified.										
											
title	intel® pt tip.pgd may not have target ip payload										
problem	when intel pt (intel processor trace) is enabled and a direct unconditional branch clears ia32_rtit_status.filteren (msr 571h, bit 0), due to this erratum, the resulting tip.pgd (target ip packet, packet generation disable) may not have an ip payload with the target ip.										
implication	it may not be possible to tell which instruction in the flow caused the tip.pgd using only the information in trace packets when this erratum occurs.										
workaround	the intel pt trace decoder can compare direct unconditional branch targets in the source with the filteren address range(s) to determine which branch cleared filteren.										
											
title	operand-size override prefix causes 64-bit operand form of movbe instruction to cause a #ud										
problem	execution of a 64 bit operand movbe instruction with an operand-size override instruction prefix (66h) may incorrectly cause an invalid-opcode exception (#ud).										
implication	a movbe instruction with both rex.w=1 and a 66h prefix will unexpectedly cause an #ud (invalid-opcode exception). intel has not observed this erratum with any commercially available software.										
workaround	do not use a 66h instruction prefix with a 64-bit operand movbe instruction.										
											
title	execution of fxsave or fxrstor with the vex prefix may produce a #nm exception										
problem	attempt to use fxsave or fxrstor with a vex prefix should produce a #ud (invalid-opcode) exception. if either the ts or em flag bits in cr0 are set, a #nm (device-not-available) exception will be raised instead of #ud exception.										
implication	due to this erratum a #nm exception may be signaled instead of a #ud exception on an fxsave or an fxrstor with a vex prefix.										
workaround	software should not use fxsave or fxrstor with the vex prefix.										
											
title	wrmsr may not clear the sticky count overflow bit in the ia32_mci_status msrs’ corrected error count field										
problem	the sticky count overflow bit is the most significant bit (bit 52) of the corrected error count field (bits[52:38]) in ia32_mci_status msrs. once set, the sticky count overflow bit may not be cleared by a wrmsr instruction. when this occurs, that bit can only be cleared by power-on reset.										
implication	software that uses the corrected error count field and expects to be able to clear the sticky count overflow bit may misinterpret the number of corrected errors when the sticky count overflow bit is set. this erratum does not affect threshold-based cmci (corrected machine check error interrupt) signaling.										
workaround	none identified.										
											
title	pebs eventing ip field may be incorrect after not-taken branch										
problem	when a pebs (precise-event-based-sampling) record is logged immediately after a not-taken conditional branch (jcc instruction), the eventing ip field should contain the address of the first byte of the jcc instruction. due to this erratum, it may instead contain the address of the instruction preceding the jcc instruction.										
implication	performance monitoring software using pebs may incorrectly attribute pebs events that occur on a jcc to the preceding instruction.										
workaround	none identified.										
											
title	debug exceptions may be lost or misreported following wrmsr to ia32_bios_updt_trig										
problem	if the wrmsr instruction writes to the ia32_bios_updt_trig msr (79h) immediately after an execution of mov ss or pop ss that generated a debug exception, the processor may fail to deliver the debug exception or, if it does, the dr6 register contents may not correctly reflect the causes of the debug exception.										
implication	debugging software may fail to operate properly if a debug exception is lost or does not report complete information.										
workaround	software should avoid using wrmsr instruction immediately after executing mov ss or pop ss										
											
title	complex interactions with internal graphics may impact processor responsiveness										
problem	under complex conditions associated with the use of internal graphics, the processor may exceed the max_lat csr values (pci configuration space, offset 03fh, bits[7:0]).										
implication	when this erratum occurs, the processor responsiveness is affected. intel has not observed this erratum with any commercially available software.										
workaround	none identified.										
											
title	intel® processor trace psb+ packets may contain unexpected packets										
problem	some intel processor trace packets should be issued only between tip.pge (target ip packet.packet generation enable) and tip.pgd (target ip packet.packet generation disable) packets. due to this erratum, when a tip.pge packet is generated it may be preceded by a psb+ (packet stream boundary) that incorrectly includes fup (flow update packet) and mode.exec packets.										
implication	due to this erratum, fup and mode.exec may be generated unexpectedly.										
workaround	decoders should ignore fup and mode.exec packets that are not between tip.pge and tip.pgd packets.										
											
title	placing an intel® pt topa in non-wb memory or writing it within a transactional region may lead to system instability										
problem	if an intel pt (intel® processor trace) topa (table of physical addresses) is not placed in wb (writeback) memory or is written by software executing within an intel® tsx (intel® transactional synchronization extension) transactional region, the system may become unstable.										
implication	unusual treatment of the topa may lead to system instability.										
workaround	none identified. intel pt topa should reside in wb memory and should not be written within a transactional region.										
											
title	vm entry that clears traceen may generate a fup										
problem	if vm entry clears intel® pt (intel processor trace) ia32_rtit_ctl.traceen (msr 570h, bit 0) while packeten is 1 then a fup (flow update packet) will precede the tip.pgd (target ip packet, packet generation disable). vm entry can clear traceen if the vm-entry msr-load area includes an entry for the ia32_rtit_ctl msr.										
implication	when this erratum occurs, an unexpected fup may be generated that creates the appearance of an asynchronous event taking place immediately before or during the vm entry.										
workaround	the intel pt trace decoder may opt to ignore any fup whose ip matches that of a vm entry instruction.										
											
title	performance monitor event for outstanding offcore requests and snoop requests may be incorrect										
problem	the performance monitor event offcore_requests_outstanding (event 60h, any umask value) should count the number of offcore outstanding transactions each cycle. due to this erratum, the counts may be higher or lower than expected.										
implication	the performance monitor event offcore_requests_outstanding may reflect an incorrect count.										
workaround	none identified.										
											
title	enclu[egetkey] ignores keyrequest.miscmask										
problem	the intel® sgx (software guard extensions) enclu[egetkey] instruction ignores the miscmask field in keyrequest structure when computing a provisioning key, a provisioning seal key, or a seal key.										
implication	enclu[egetkey] will return the same key in response to two requests that differ only in the value of keyrequest.miscmask. intel has not observed this erratum with any commercially available software.										
workaround	when executing the enclu[egetkey] instruction, software should ensure the bits set in keyrequest.miscmask are a subset of the bits set in the current secs’s miscselect field.										
											
title	popcnt instruction may take longer to execute than expected										
problem	popcnt instruction execution with a 32 or 64 bit operand may be delayed until previous non-dependent instructions have executed.										
implication	software using the popcnt instruction may experience lower performance than expected.										
workaround	none identified										
											
title	enclu[ereport] may cause a #gp when targetinfo.miscselect is non- zero										
problem	the intel® sgx (software guard extensions) enclu[ereport] instruction may cause a #gp (general protection fault) if any bit is set in targetinfo structure’s miscselect field.										
implication	this erratum may cause unexpected general-protection exceptions inside enclaves.										
workaround	when executing the enclu[ereport] instruction, software should ensure the bits set in targetinfo.miscselect are a subset of the bits set in the current secs’s miscselect field.										
											
title	a vmx transition attempting to load a non-existent msr may result in a shutdown										
problem	a vmx transition may result in a shutdown (without generating a machine-check event) if a non-existent msr is included in the associated msr-load area. when such a shutdown occurs, a machine check error will be logged with ia32_mci_status.mcacod (bits [15:0]) of 406h, but the processor does not issue the special shutdown cycle. a hardware reset must be used to restart the processor.										
implication	due to this erratum, the hypervisor may experience an unexpected shutdown.										
workaround	software should not configure vmx transitions to load non-existent msrs.										
											
title	transitions out of 64-bit mode may lead to an incorrect fdp and fip										
problem	a transition from 64-bit mode to compatibility or legacy modes may result in cause a subsequent x87 fpu state save to zeroing bits [63:32] of the fdp (x87 fpu data pointer offset) and the fip (x87 fpu instruction pointer offset).										
implication	leaving 64-bit mode may result in incorrect fdp and fip values when x87 fpu state is saved.										
workaround	none identified. 64-bit software should save x87 fpu state before leaving 64-bit mode if it needs to access the fdp and/or fip values.										
											
title	intel® pt fup may be dropped after ovf										
problem	some intel pt (intel processor trace) ovf (overflow) packets may not be followed by a fup (flow update packet) or tip.pge (target ip packet, packet generation enable).										
implication	when this erratum occurs, an unexpected packet sequence is generated.										
workaround	when it encounters an ovf without a following fup or tip.pge, the intel pt trace decoder should scan for the next tip, tip.pge, or psb+ to resume operation.										
											
title	encls[ecreate] causes #gp if enclave base address is not canonical										
problem	the encls[ecreate] instruction uses an secs (sgx enclave control structure) referenced by the srcpage pointer in the pageinfo structure, which is referenced by the rbx register. due to this erratum, the instruction causes a #gp (general- protection fault) if the secs attributes indicate that the enclave should operate in 64- bit mode and the enclave base linear address in the secs is not canonical.										
implication	system software will incur a general-protection fault if it mistakenly programs the secs with a non-canonical address. intel has not observed this erratum with any commercially available software.										
workaround	system software should always specify a canonical address as the base address of the 64-bit mode enclave.										
											
title	processor graphics iommu unit may report spurious faults										
problem	the iommu unit for processor graphics pre-fetches context (or extended-context) entries to improve performance. due to the erratum, the iommu unit may report spurious dma remapping faults if prefetching encounters a context (or extended- context) entry which is not marked present.										
implication	software may observe spurious dma remapping faults when the present bit for the context (or extended-context) entry corresponding to the processor graphics device (bus: 0; device: 2; function: 0) is cleared. these faults may be reported when the processor graphics device is quiescent.										
workaround	none identified. instead of marking a context not present, software should mark the context (or extended-context) entry present while using the page table to indicate all the memory pages referenced by the context entry is not present.										
											
title	processor ddr vref signals may briefly exceed jedec spec when entering s3 state										
problem	voltage glitch of up to 200mv on the vref signal lasting for about 1ms may be observed when entering system s3 state. this violates the jedec ddr specifications.										
implication	intel has not observed this erratum to impact the operation of any commercially available system.										
workaround	none identified.										
											
title	dr6.b0-b3 may not report all breakpoints matched when a mov/pop ss is followed by a store or an mmx instruction										
problem	normally, data breakpoints matches that occur on a mov ss, r/m or pop ss will not cause a debug exception immediately after mov/pop ss but will be delayed until the instruction boundary following the next instruction is reached. after the debug exception occurs, dr6.b0-b3 bits will contain information about data breakpoints matched during the mov/pop ss as well as breakpoints detected by the following instruction. due to this erratum, dr6.b0-b3 bits may not contain information about data breakpoints matched during the mov/pop ss when the following instruction is either an mmx instruction that uses a memory addressing mode with an index or a store instruction.										
implication	when this erratum occurs, dr6 may not contain information about all breakpoints matched. this erratum will not be observed under the recommended usage of the mov ss,r/m or pop ss instructions (i.e., following them only with an instruction that writes (e/r)sp).										
workaround	none identified.										
											
title	encls[einit] instruction may unexpectedly #gp										
problem	when using intel® sgx (software guard extensions), the encls[einit] instruction will incorrectly cause a #gp (general protection fault) if the miscselect field of the sigstruct structure is not zero.										
implication	this erratum may cause an unexpected #gp, but only if software has set bits in the miscselect field in sigstruct structure that do not correspond to extended features that can be written to the misc region of the ssa (state save area). intel has not observed this erratum with any commercially available software.										
workaround	when executing the encls[einit] instruction, software should only set bits in the miscselect field in the sigstruct structure that are enumerated as 1 by cpuid.(eax=12h,ecx=0):ebx (the bit vector of extended features that can be written to the misc region of the ssa).										
											
title	intel® pt ovf packet may be lost if immediately preceding a tracestop										
problem	if an intel pt (intel® processor trace) internal buffer overflow occurs immediately before software executes a taken branch or event that enters an intel pt tracestop region, the ovf (overflow) packet may be lost.										
implication	the trace decoder will not see the ovf packet, nor any subsequent packets (e.g., tracestop) that were lost due to overflow.										
workaround	none identified.										
											
title	wrmsr to ia32_bios_updt_trig may be counted as multiple instructions										
problem	when software loads a microcode update by writing to msr ia32_bios_updt_trig (79h) on multiple logical processors in parallel, a logical processor may, due to this erratum, count the wrmsr instruction as multiple instruction-retired events.										
implication	performance monitoring with the instruction-retired event may over count by up to four extra events per instance of wrmsr which targets the ia32_bios_updt_trig register .										
workaround	none identified.										
											
title	branch instructions may initialize mpx bound registers incorrectly										
problem	depending on the current intel® mpx (memory protection extensions) configuration, execution of certain branch instructions (near call, near ret, near jmp, and jcc instructions) without a bnd prefix (f2h) initialize the mpx bound registers. due to this erratum, execution of such a branch instruction on a user-mode page may not use the mpx configuration register appropriate to the current privilege level (bndcfgu for cpl 3 or bndcfgs otherwise) for determining whether to initialize the bound registers; it may thus initialize the bound registers when it should not, or fail to initialize them when it should.										
implication	after a branch instruction on a user-mode page has executed, a #br (bound-range) exception may occur when it should not have or a #br may not occur when one should have.										
workaround	if supervisor software is not expected to execute instructions on user-mode pages, software can avoid this erratum by setting cr4.smep[bit 20] to enable supervisor- mode execution prevention (smep). if smep is not available or if supervisor software is expected to execute instructions on user-mode pages, no workaround is identified.										
											
title	writing a non-canonical value to an lbr msr does not signal a #gp when intel® pt is enabled										
problem	if intel pt (intel processor trace) is enabled, wrmsr will not cause a general- protection exception (#gp) on an attempt to write a non-canonical value to any of the following msrs:  • msr_lastbranch_{0-31}_from_ip(680h–69fh) • msr_lastbranch__{0-31}_to_ip(6c0h–6dfh) • msr_lastbranch_from_ip(1dbh) • msr_lastbranch_to_ip(1dch)  • msr_lastint_from_ip(1ddh)  • msr_lastint_to_ip(1deh)insteadthesamebehaviorwilloccurasifacanonical value had been written. specifically, the wrmsr will be dropped and the msr value will not be changed.										
implication	due to this erratum, an expected #gp may not be signaled.										
workaround	none identified.										
											
title	processor may run intel® avx code much slower than expected										
problem	after a c6 state exit, the execution rate of avx instructions may be reduced.										
implication	applications using avx instructions may run slower than expected.										
workaround	it is possible for the bios to contain a workaround										
											
title	intel® pt buffer overflow may result in incorrect packets										
problem	under complex micro-architectural conditions, an intel pt (processor trace) ovf (overflow) packet may be issued after the first byte of a multi-byte cyc (cycle count) packet, instead of any remaining bytes of the cyc.										
implication	when this erratum occurs, the splicing of the cyc and ovf packets may prevent the intel pt decoder from recognizing the overflow. the intel pt decoder may then encounter subsequent packets that are not consistent with expected behavior.										
workaround	none identified. the decoder may be able to recognize that this erratum has occurred when a two-byte cyc packet is followed by a single byte cyc, where the latter 2 bytes are 0xf302, and where the cyc packets are followed by a fup (flow update packet) and a psb+ (packet stream boundary+). it should then treat the two cyc packets as indicating an overflow.										
											
title	last level cache performance monitoring events may be inaccurate										
problem	the performance monitoring events longest_lat_cache.reference (event 2eh; umask 4fh) and longest_lat_cache.miss (event 2eh; umask 41h) count requests that reference or miss in the last level cache. however, due to this erratum, the count may be incorrect.										
implication	longest_lat_cache events may be incorrect.										
workaround	none identified. software may use the following offcore_requests model-specific sub events that provide related performance monitoring data:  demand_data_rd, demand_code_rd, demand_rfo, all_data_rd, l3_miss_demand_data_rd, all_requests.										
											
title	#gp occurs rather than #db on code page split inside an intel® sgx enclave										
problem	when executing within an intel® sgx (software guard extensions) enclave, a #gp (general-protection exception) may be delivered instead of a #db (debug exception) when an instruction breakpoint is detected. this occurs when the instruction to be executed spans two pages, the second of which has an entry in the epcm (enclave page cache map) that is not valid.										
implication	debugging software may not be invoked when an instruction breakpoint is detected.										
workaround	software should ensure that all pages containing enclave instructions have valid epcm entries.										
											
title	execution of vaesenclast instruction may produce a #nm exception instead of a #ud exception										
problem	execution of vaesenclast with vex.l= 1 should signal a #ud (invalid opcode) exception, however, due to the erratum, a #nm (device not available) exception may be signaled.										
implication	as a result of this erratum, an operating system may restore avx and other state unnecessarily.										
workaround	none identified.										
											
title	intel® sgx enclave accesses to the apic-access page may cause apic- access vm exits										
problem	in vmx non-root operation, intel sgx (software guard extensions) enclave accesses to the apic-access page may cause apic-access vm exits instead of page faults.										
implication	a vmm (virtual-machine monitor) may receive a vm exit due to an access that should have caused a page fault, which would be handled by the guest os (operating system).										
workaround	a vmm avoids this erratum if it does not map any part of the epc (enclave page cache) to the guest’s apic-access address; an operating system avoids this erratum if it does not attempt indirect enclave accesses to the apic.										
											
title	cr3 filtering does not compare bits [11:5] of cr3 and ia32_rtit_cr3_match in pae paging mode										
problem	in pae paging mode, the cr3[11:5] are used to locate the page-directory-pointer table. due to this erratum, those bits of cr3 are not compared to ia32_rtit_cr3_match (msr 572h) when ia32_rtit_ctl.cr3filter (msr 570h, bit 7) is set.										
implication	if multiple page-directory-pointer tables are co-located within a 4kb region, cr3 filtering will not be able to distinguish between them so additional processes may be traced.										
workaround	none identified.										
											
title	x87 fdp value may be saved incorrectly										
problem	execution of the fsave, fnsave, fstenv, or fnstenv instructions in real-address mode or virtual-8086 mode may save an incorrect value for the x87 fdp (fpu data pointer). this erratum does not apply if the last non-control x87 instruction had an unmasked exception.										
implication	software operating in real-address mode or virtual-8086 mode that depends on the fdp value for non-control x87 instructions without unmasked exceptions may not operate properly.										
workaround	none identified. software should use the fdp value saved by the listed instructions only when the most recent non-control x87 instruction incurred an unmasked exception.										
											
title	peci frequency limited to 1 mhz										
problem	the peci (platform environmental control interface) 3.1 specification’s operating frequency range is 0.2 mhz to 2 mhz. due to this erratum, peci may be unreliable when operated above 1 mhz.										
implication	platforms attempting to run peci above 1 mhz may not behave as expected.										
workaround	none identified. platforms should limit peci operating frequency to 1 mhz.										
											
title	processor graphics iommu unit may not mask dma remapping faults										
problem	intel® virtualization technology for directed i/o specification specifies setting the fpd (fault processing disable) field in the context (or extended-context) entry of iommu to mask recording of qualified dma remapping faults for dma requests processed through that context entry. due to this erratum, the iommu unit for processor graphics device may record dma remapping faults from processor graphics device (bus: 0; device: 2; function: 0) even when the fpd field is set to 1.										
implication	software may continue to observe dma remapping faults recorded in the iommu fault recording register even after setting the fpd field.										
workaround	none identified. software may mask the fault reporting event by setting the im (interrupt mask) field in the iommu fault event control register (offset 038h in gfxvtbar).										
											
title	intel® pt cycthresh value of 13 is not supported										
problem	intel pt (intel® processor trace) cyc (cycle count) threshold is configured through cycthresh field in bits [22:19] of ia32_rtit_ctl msr (570h). a value of 13 is advertised as supported by cpuid (leaf 14h, sub-lead 1h). due to this erratum, if cycthresh is set to 13 then the cyc threshold will be 0 cycles instead of 4096 (213- 1) cycles.										
implication	cyc packets may be issued in higher rate than expected if threshold value of 13 is used.										
workaround	none identified. software should not use value of 13 for cyc threshold.										
											
title	enabling vmx-preemption timer blocks hdc operation										
problem	hdc (hardware duty cycling) will not put the physical package into the forced idle state while any logical processor is in vmx non-root operation and the “activate vmx- preemption timer” vm-execution control is 1.										
implication	hdc will not provide the desired power reduction when the vmx-preemption timer is active in vmx non-root operation.										
workaround	none identified.										
											
title	integrated audio codec may not be detected										
problem	integrated audio codec may lose power when lpsp (low-power single pipe) mode is enabled for an edp* (embedded displayport) or dp/hdmi ports. platforms with intel® sst (intel® smart sound technology) enabled are not affected.										
implication	the audio bus driver may attempt to do enumeration of codecs when edp or dp/hdmi port enters lpsp mode, due to this erratum, the integrated audio codec will not be detected and audio maybe be lost.										
workaround	intel® graphics driver 15.40.11.4312 or later will prevent the integrated audio codec from losing power when lpsp mode is enabled.										
											
title	display flickering may be observed with specific edp panels										
problem	the processor may incorrectly configure transmitter buffer characteristics if the associated edp panel requests vesa equalization preset 3, 5, 6, or 8.										
implication	display flickering or display loss maybe observed.										
workaround	intel® graphics driver version 15.40.12.4326 or later contains a workaround for this erratum.										
											
title	incorrect branch predicted bit in bts/btm branch records										
problem	bts (branch trace store) and btm (branch trace message) send branch records to the debug store management area and system bus respectively. the branch predicted bit (bit 4 of eighth byte in bts/btm records) should report whether the most recent branch was predicted correctly. due to this erratum, the branch predicted bit may be incorrect.										
implication	bts and btm cannot be used to determine the accuracy of branch prediction.										
workaround	none identified.										
											
title	machine_clears.memory_ordering performance monitoring event may undercount										
problem	the performance monitoring event machine_clears.memory_ordering (event c3h; umask 02h) counts the number of machine clears caused by memory ordering conflicts. however due to this erratum, this event may undercount for vgather*/vpgather* instructions of four or more elements.										
implication	machine_clears.memory_ordering performance monitoring event may undercount.										
workaround	none identified.										
											
title	ctr_frz may not freeze some counters										
problem	ia32_perf_global_status.ctr_frz (msr 38eh, bit 59) is set when either (1) ia32_debugctl.freeze_perfmon_on_pmi (msr 1d9h, bit 12) is set and a pmi is triggered, or (2) software sets bit 59 of ia32_perf_global_status_set (msr 391h). when set, ctr_frz should stop all core performance monitoring counters from counting. however, due to this erratum, ia32_pmc4-7 (msr c5-c8h) may not stop counting. ia32_pmc4-7 are only available when a processor core is not shared by two logical processors.										
implication	general performance monitoring counters 4-7 may not freeze when ia32_perf_global_status.ctr_frz is set.										
workaround	none identified.										
											
title	instructions and branches retired performance monitoring events may overcount										
problem	the performance monitoring events inst_retired (event c0h; any umask value) and br_inst_retired (event c4h; any umask value) count instructions retired and branches retired, respectively. however, due to this erratum, these events may overcount in certain conditions when:  - executing vmaskmov* instructions with at least one masked vector element  - executing rep movs or rep stos with fast strings enabled (ia32_misc_enables msr (1a0h), bit 0 set)  - an mpx #br exception occurred on bndldx/bndstx instructions and the br_inst_retired (event c4h; umask is 00h or 04h) is used.										
implication	inst_retired and br_inst_retired performance monitoring events may overcount.										
workaround	none identified.										
											
title	some offcore_response performance monitoring events may overcount										
problem	the performance monitoring events offcore_response (events b7h and bbh) should count off-core responses matching the request-response configuration specified in msr_offcore_rsp_0 and msr_offcore_rsp_1 (1a6h and 1a7h, respectively) for core-originated requests. however, due to this erratum, dmnd_rfo (bit 1), dmnd_ifetch (bit 2) and other (bit 15) request types may overcount.										
implication	some offcore_response events may overcount.										
workaround	none identified. software may use the following model-specific events that provide related performance monitoring data: offcore_requests (all sub-events), l2_trans.l2_wb and l2_rqsts.pf_miss.										
											
title	instructions fetch #gp after rsm during inter® pt may push incorrect rflags value on stack										
problem	if intel pt (processor trace) is enabled, a #gp (general protection fault) caused by the instruction fetch immediately following execution of an rsm instruction may push an incorrect value for rflags onto the stack.										
implication	software that relies on rflags value pushed on the stack under the conditions described may not work properly.										
workaround	none identified.										
											
title	access to sgx epc page in blocked state is not reported as an sgx- induced page fault										
problem	if a page fault results from attempting to access a page in the sgx (intel® software guard extensions) epc (enclave page cache) that is in the blocked state, the processor does not set bit 15 of the error code and thus fails to indicate that the page fault was sgx-induced.										
implication	due to this erratum, software may not recognize these page faults as being sgx- induced.										
workaround	before using the eblock instruction to marking a page as blocked, software should use paging to mark the page not present.										
											
title	mtf vm exit on xbegin instruction may save state incorrectly										
problem	execution of an xbegin instruction while the monitor trap flag vm-execution control is 1 will be immediately followed by an mtf vm exit. if advanced debugging of rtm transactional regions has been enabled, the vm exit will erroneously save as instruction pointer the address of the xbegin instruction instead of the fallback instruction address specified by the xbegin instruction. in addition, it will erroneously set bit 16 of the pending-debug-exceptions field in the vmcs indicating that a debug exception or a breakpoint exception occurred.										
implication	software using the monitor trap flag to debug or trace transactional regions may not operate properly. intel has not observed this erratum with any commercially available software.										
workaround	none identified										
											
title	intel® turbo boost technology may be incorrectly reported as supported on intel® coretm i3 u/h/s, select intel® mobile pentium®, intel® mobile celeron®, intel® pentium® and intel® celeron® processors										
problem	these processors may incorrectly report support for intel® turbo boost technology via cpuid.06h.eax bit 1.										
implication	the cpuid instruction may report turbo boost technology as supported even though the processor does not permit operation above the base frequency.										
workaround	none identified.										
											
title	performance monitoring counters may undercount when using cpl filtering										
